StockNumber,Make,Model,Badge,RegoNum,VIN,Price,Year,Odometer,Body,Color,EngineSize,GearType,FuelType,StandardFeatures,OptionalFeatures,AdvDescription,YardCode,Series,NVIC,SpecialPrice,IsDemo,IsSpecial,IsPrestiged,StockType,IsUsed,RegoExpiry,VideoLink,Drive,DoorNum,Cylinders,RedbookCode,IsMiles,ShortDescription,InteriorColour,RegoState,BuildDate,ComplianceDate,GCM,GVM,Tare,SleepingCapacity,Toilet,Shower,AirConditioning,Fridge,Stereo,IsDAP,StockStatus,EngineNumber,GearCount,EnginePower,PowerkW,Powerhp,EngineMake,GPS,SerialNumber,WheelSize,TowBallWeight,Warranty,Wheels,AxleConfiguration,Seats
100365,Honda,Fit,F,2DG7XZ,6ZZJ000GP51331322,14995.0000,2018,97081,Hatchback,Black,1500,Auto,Hybrid,"Power Steering,Power Window,Air Condition,Winker Mirror,Rear Spoiler,Reverse Camera,Seats Adjustment,Cruise Control,Push start,Traction Control,Keep lane Assist,Collision Brakes,Parking Sensor,Climate Control",,"Honda Fit 2018 <br />Stock No: [100365]<br />Mileage: [97,081 km]<br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,GP5,,,False,False,False,A,True,19/11/2025,,2WD,5,4,,False,GP5-1331322,Gray,VIC,08/18,08/25,,,,,,,Yes,,,False,In_Stock,LEB1437595,,,,,,,,0,,,,,5
100430,Toyota,Raize,Hybrid G,,6ZZN0A202A0021459,23995.0000,2022,73550,SUV,Sky Blue,1200,Auto,Hybrid,"Power Steering,Power Window,Air Condition,Push Start,Winker Mirror,Alloy Wheel,Parking Sensor,Reverse Camera,Rear Spoiler,Climate Control,Collision Control,Traction Control,Auto Headlights,ABS Brakes,Eco Mode,Dash Camera,Seats Adjustment",,"Toyota Raize 2022<br />Stock No: 100430<br />Mileage: 73,550 km<br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Maidstone Yard<br />205 Ballarat Rd, Maidstone VIC 3012, Australiaa<br />Phone: 03 4329 0786<br />Email: sales.maidstone@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",1,A202A,,22995.0000,False,False,False,A,True,,,2WD,5,4,,False,A202A-0021459,Gray,VIC,03/22,04/25,,,,,,,Yes,,,False,In_Stock,000,,,,,,,,0,,,,,5
100431,Toyota,Crown,Royal saloon,,6ZZFAWS2106088536,20995.0000,2015,114353,Sedan,Silver,2500,Auto,Hybrid,"Power Steering,Power Window,Air Condition,Reverse Camera,Push Start,Winker Mirror,Fog Lights,Alloy Wheel,Parking Sensor,Leather Seats,Ev Mode,Traction Control,Heated Seats,Cruise Control,Power Mirror,Dash Camera,Folding Side Mirror,Electric Seats Adjustment,Multi Zone Climate Control",,"Toyota Crown 2015 <br />Stock No: 100431<br />Mileage: 114,353 km<br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Maidstone Yard<br />205 Ballarat Rd, Maidstone VIC 3012, Australiaa<br />Phone: 03 4329 0786<br />Email: sales.maidstone@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",1,AWS210,,,False,False,False,A,True,,,2WD,4,4,,False,AWS210-6088536,Gray,VIC,04/15,07/05,,,,,,,Yes,,,False,In_Stock,0000,,,,,,,,0,,,,,5
100508,Toyota,Corolla Fielder,HYBRID EX,,6ZZMNKE1657243101,19995.0000,2021,116255,Station Wagon,White,1500,Auto,Hybrid,"Power Steering,Power Window,Winker Mirror,ABS Brakes,Air Condition,Push Start,Fog Light,Reverse Camera,Rear Spoiler,Seats Adjustment,Dash Cam,Climate Control,ECO Mode,Traction Control,EV Mode,Collision Braking,Keep Lane Assist",,"Toyota Corolla Fielder 2021 <br /> Stock No:  [100508]<br /> Mileage:   [116,255 km ]<br /><br /><br /><br /><br /><br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,NKE165,,18995.0000,False,False,False,A,True,,,2WD,5,4,,False,NKE165-7243101,Gray,VIC,02/21,06/25,,,,,,,Yes,,,False,In_Stock,0000,,,,,,,,0,,,,,5
100532,Honda,Grace,HYBRID LX,,6ZZF000GM41015997,14995.0000,2015,69003,Sedan,Silver,1.5,Auto,Hybrid,"Power Steering,Power Window,Winker Mirror,Power Mirror,Air Condition,Push Start,Alloy Wheel,Reverse Camera,Seats Adjustment,Cruise Control,Traction Control,Climate Control,Dash Camera",,"Honda Grace 2015<br /> Stock No: [100532]<br /> Mileage: [69,003 km]<br /><br /><br /><br /><br /><br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,GM4,,,False,False,False,A,True,,,2WD,4,4,,False,GM4-1015997,Gray,VIC,02/15,07/25,,,,,,,Yes,,,False,On_Offer,0000,,,,,,,,0,,,,,5
100544,Honda,Grace,HYBRID LX,,6ZZF000GM41013700,14995.0000,2015,89781,Sedan,Black,1500,Auto,Hybrid,"Power Steering,Power Window,Winker Mirror,ABS Brakes,Air Condition,Reverse Camera,Push Start,Climate Control,Seats Adjustment,Cruise Control,Traction Control,Folding Side Mirror,Revere Camera",,"Honda Grace 2015 <br />Stock No: [100544]<br />Mileage: [89,781 km]<br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,GM4,,,False,False,False,A,True,,,2WD,4,4,,False,GM4-1013700,Gray,VIC,01/15,08/25,,,,,,,Yes,,,False,In_Stock,0,,,,,,,,0,,,,,5
100551,Honda,Fit,F Hybrid Sensing,,6ZZK000GP51346610,14999.0000,2019,92968,Hatchback,Silver,1500,Auto,Hybrid,"Power Steering,Power Window,ABS Brakes,Air Condition,Reverse Camera,Push Start,Winker Mirror,Rear Spoiler,Seats Adjustment,Cruise Control,Traction Control,Collision Braking,Keep lane Assist,Parking Sensor,Climate Control,Dash Camera",,"Honda Fit 2019 <br />Stock No:  [100551]<br />Mileage:   [92,968 km ]<br /><br /><br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,GP5,,,False,False,False,A,True,,,2WD,4,4,,False,GP5-1346610,Gray,VIC,02/19,07/25,,,,,,,Yes,,,True,On_Offer,0000,,,,,,,,0,,,,,5
100555,Honda,Odyssey,HYBRID HONDA SENSING,,6ZZG000RC41001886,19995.0000,2016,145172,Van,Black,2000,Auto,Hybrid,"Power Steering,Power Window,Winker Mirror,ABS Brakes,Air Condition,Alloy Wheel,Push Start,Traction Control,Keep Lane Assist,Collision Braking,Cruise Control,Dash Camera,Rear Spoiler,Climate Control,Seats Adjustment,Folding Side Mirror",,"Honda Odyssey 2016<br />Stock No: 100555<br />Mileage: 145,172  km<br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Maidstone Yard<br />205 Ballarat Rd, Maidstone VIC 3012, Australiaa<br />Phone: 03 4329 0786<br />Email: sales.maidstone@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",1,RC4,,,False,False,False,A,True,,,2WD,5,4,,False,RC4-1001886,Gray,VIC,02/16,06/25,,,,,,,Yes,,,False,In_Stock,00000,,,,,,,,0,,,,,7
100596,Honda,Grace,Hybrid Dx,,6ZZH000GM41110484,15995.0000,2017,73855,Sedan,Silver,1500,Auto,Hybrid,"Power Steering,Power Window,Air Condition,Winker Mirror,ABS Brakes,Alloy Wheel,Dash Camera,Climate Control,Push Start,Traction Control,Parking Sensor,Seats Adjustment",,"Honda Grace 2017 <br />Stock No: 100596<br />Mileage: 73,855 km<br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Maidstone Yard<br />205 Ballarat Rd, Maidstone VIC 3012, Australiaa<br />Phone: 03 4329 0786<br />Email: sales.maidstone@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",1,GM4,,,False,False,False,A,True,,,2WD,4,4,,False,GM4-1110484,Gray,VIC,05/17,09/25,,,,,,,Yes,,,False,In_Stock,0,,,,,,,,0,,,,,5
100597,Suzuki,Swift,Special Edition,,6ZZJ00ZC53S113232,14995.0000,2018,104977,Hatchback,Silver,1200,Auto,Hybrid,"Power Steering,Power Window,Air Condition,Alloy Wheel,ABS Brakes,Fog Lights,Winker Mirror,Rear Spoiler,Reverse Camera,Seats Adjstment,Traction Control,Collision Braking,Keep Lane Assist,Push Start,Climate Control,Dash Camera",,"Suzuki Swift 2018 <br /> Stock No: [100597]<br /> Mileage: [104,977 km]<br /><br /><br />Looking for a reliable, high-quality vehicle? This carefully selected Japanese import offers excellent value, comfort, and practicality.<br /><br />Every vehicle is sourced directly from Japan and selected to meet our high standards of quality and condition.<br /><br />Odometer Verified<br /><br />The odometer reading is verified through official Japanese Auction Sheets and Import Documentation, available for your reference and peace of mind.<br /><br />Price Includes:<br /><br />Roadworthy Certificate (RWC)<br />Registration<br />Transfer Fees<br /><br />Additional Services Available:<br /><br />Video Walkaround Inspections<br />Finance & Car Loan Options<br />GST Invoice Available<br />1-5 Year Extended Warranty<br />Australia-Wide Delivery Available<br /><br />Why Buy From UKA Japan Motors?<br /><br />Trusted Japanese Import Specialists<br />Quality Vehicles Direct from Japan<br />Verified Odometer Readings<br />Competitive Finance Solutions<br />Extended Warranty Options<br />Friendly & Experienced Team<br /><br /><br /><br />Mordialloc Yard<br />247 Boundary Road, Mordialloc VIC 3195 <br />Phone: 03 7065 6403<br />sales.mordialloc@ukajapan.com.au<br />View Stock: www.ukajapan.com.au<br /><br />LMCT: 0012708<br /><br />Note: Vehicle specifications and features may be automatically generated by third-party platforms. Please confirm all features, options, and specifications with our sales team prior to purchase.",2,ZC53S,,,False,False,False,A,True,,,2WD,5,4,,False,ZC53S-113232,Gray,VIC,06/18,09/25,,,,,,,Yes,,,False,In_Stock,0,,,,,,,,0,,,,,5
